Sat_ID,pos_x,pos_y,vel_x,vel_y,range,range_rates
1,3746.4,9509.1,283.93,546.7,10218,607.9
2,7320.9,5988.6,143.92,806.2,9456.2,616.84
3,1561.2,1561.9,77.551,990.89,2206.2,750.46
4,581.84,8663.8,775.24,202.72,8681.3,249.9
5,6012.2,7082.7,8.5221,819.46,9288.2,625.29
6,206.84,9701.1,709.86,733.01,9701.3,743.95
7,8325.4,2125.4,774.27,78.045,8591.1,765.55
8,1819.2,1836,361.47,119.87,2582.6,334.63
9,3043.4,5249.6,866.1,627.3,6065.6,972.03
10,4320.5,2914.3,333.9,67.558,5209.6,309.89
11,6119.5,1396.9,313.98,329.18,6275.5,375.43
12,2922.4,3665.6,732.61,641.56,4686,953.26
13,4561.7,7853.8,890.21,476.21,9080.1,853.95
14,1997.7,5144.3,122.59,717.24,5516.6,708.08
15,5925.1,466.5,763.79,565.28,5942.4,802.4
16,6076.4,1707.2,773.97,497.8,6310.2,875.82
17,651.52,9490.9,525.73,431.54,9511.1,462.38
18,9657.3,8086,28.419,111.89,12593,88.764
19,3047.1,978.72,34.429,640.41,3198.7,224.3
20,6843.3,4403.5,317.36,512.57,8135.7,539.4
21,1221.4,4953.8,910.57,253.29,5099.7,459.25
22,344.89,9095.2,413.38,759.55,9099.7,770.33
23,2588.8,6627.2,231.8,80.98,7112.7,154.88
24,3118.1,5202.7,292.75,165.22,6063.3,287.07
25,5468.1,1850.5,932.7,812.12,5771.2,1139.5
26,9696.8,7753.3,636.4,875.46,12414,1038.8
27,9396,8950.3,806.67,190.57,12974,710.54
28,5980,9220.7,895.56,543.34,10988,938.33
29,885.93,1961.8,810.44,900.09,2150.3,1149
30,453.27,3255.3,321,114.05,3284.8,152.81
31,3887.8,2715.5,230.94,431.11,4740.3,431.19
32,8288.4,3569.5,821.01,864.73,9022.4,1091.8
